IOPAC,PACFIN_PORT_CODE,Pacfin Port Name,Pacfin Port Description,Agency Name,PACFIN_LAT,PACFIN_LONG,Map_order,"in LB.ShortForm.with.Hake.Strat, 24 Mar 2022",PRIMARY_LATITUDE,PRIMARY_LONGITUDE,STATE
San Diego,OCN,OCEANSIDE,OCEANSIDE,CDFW,33.224601,-117.306291,108,x,33.224601,-117.306291,California
San Diego,SD,SAN DIEGO,SAN DIEGO,CDFW,37.317705,-122.25843,81,x,33.224601,-117.306291,California
Bodega Bay,OSM,O SNMA/MRN,OTHER SONOMA AND MARIN COUNTY OUTER COAST PORTS,CDFW,38.290331,-122.459831,67,,,,
Puget Sound,OSP,O S PUGET,OTHER SOUTH PUGET SOUND PORTS,WDFW,47.668614,-122.9166,14,,,,
Unknown Ports,OWA,UNKN WASH,OTHER OR UNKNOWN WASHINGTON PORTS,,,,112,,,,
Other Coastal Washington,OWC,O WA COAST,OTHER WASHINGTON COASTAL PORTS,WDFW,47.526341,-124.344762,17,,,,
San Francisco,OAK,OAKLAND,OAKLAND,CDFW,37.769846,-122.22569,74,x,37.769846,-122.22569,California
San Francisco,OSF,O SF/SMTEO,OTHER S. F. BAY AND SAN MATEO COUNTY PORTS,CDFW,37.685467,-121.762518,78,x,37.769846,-122.22569,California
Tillamook,PCC,PACIFIC,PACIFIC CITY,ODFW,45.205273,-123.954237,35,,,,
San Francisco,PRN,PRINCETON,PRINCETON / HALF MOON BAY,CDFW,37.467319,-122.440485,79,x,37.769846,-122.22569,California
San Francisco,RCH,RICHMOND,RICHMOND,CDFW,37.952278,-122.360609,70,,,,
Bodega Bay,RYS,PT. REYES,POINT REYES,CDFW,38.084647,-122.809226,69,,,,
San Francisco,SF,SF,SAN FRANCISCO,CDFW,37.727239,-123.032229,76,x,37.769846,-122.22569,California
Santa Barbara,SBA,BARBARA,SANTA BARBARA AREA PORTS,CDFW,34.400601,-119.712955,96,,,,
Santa Barbara,HNM,PT HUENEME,PORT HUENEME,CDFW,34.162143,-119.204177,99,x,34.199436,-119.207515,California
San Diego,SDA,DIEGO,SAN DIEGO AREA PORTS,CDFW,37.317705,-122.25843,82,,,,
Santa Barbara,OBV,O SB/VEN,OTHER SANTA BARBARA AND VENTURA COUNTY PORTS,CDFW,34.435438,-119.858964,94,x,34.199436,-119.207515,California
North WA Coast,SEQ,SEQUIM,SEQUIM,WDFW,48.073679,-123.087802,11,,,,
Santa Barbara,OXN,OXNARD,OXNARD,CDFW,34.199436,-119.207515,98,x,34.199436,-119.207515,California
San Francisco,SFA,SF,SAN FRANCISCO AREA PORTS,CDFW,37.727239,-123.032229,77,,,,
Puget Sound,SHL,SHELTON,SHELTON,WDFW,47.218912,-123.11119,19,,,,
Morro Bay,SIM,MILL CREEK,SAN SIMEON,CDFW,35.618206,-121.137438,89,,,,
Bodega Bay,SLT,SAUSALITO,SAUSALITO,CDFW,37.858369,-122.491844,73,,,,
Newport,SLZ,SILETZ,SILETZ BAY,ODFW,44.721835,-123.918677,37,,,,
Santa Barbara,SB,S. BARBARA,SANTA BARBARA,CDFW,34.400601,-119.712955,95,x,34.199436,-119.207515,California
Puget Sound,SPS,S PUGET S,SOUTH PUGET SOUND PORTS,WDFW,47.668614,-122.9166,15,,,,
Tillamook,SRV,SAMN RIVER,SALMON RIVER,ODFW,45.560783,-123.91135,31,,,,
Puget Sound,TAC,TACOMA,TACOMA,WDFW,47.252199,-122.459832,18,,,,
Tillamook,TLA,TILLAMOOK,TILLAMOOK AREA PORTS,ODFW,45.560783,-123.91135,32,,,,
Tillamook,TLL,TLMK/GRBLD,TILLAMOOK/GARIBALDI,ODFW,45.456123,-123.833145,33,x,45.456123,-123.833145,Oregon
Bodega Bay,TML,TOMALES,TOMALES BAY,CDFW,38.24703,-122.905355,68,,,,
Unknown Ports,OCA,OTHER CAL,OTHER OR UNKNOWN CALIFORNIA PORTS,,,,110,x,NA,NA,NA
Unknown Ports,OOR,,,,,,111,x,NA,NA,NA
Eureka,TRN,TRINIDAD,TRINIDAD,CDFW,41.057708,-124.143255,54,,,,
Santa Barbara,VEN,VENTURA,VENTURA,CDFW,34.26778,-119.254206,97,,,,
Unknown Ports,WAL,,,,,,113,,,,
WA Coast,LWC,ILWCO/CHNK,ILWACO/CHINOOK,WDFW,46.312687,-124.026732,25,x,46.891815,-124.119847,Washington
WA Coast,WLB,WILLAPA,WILLAPA BAY,WDFW,46.683742,-123.735259,24,,,,
Newport,WLD,WALDPORT,WALDPORT,ODFW,44.418366,-124.066234,40,,,,
Los Angeles,WLM,WILLMNGTN,WILLMINGTON,CDFW,34.019394,-118.410825,104,,,,
WA Coast,WPT,WESTPORT,WESTPORT,WDFW,46.891815,-124.119847,23,x,46.891815,-124.119847,Washington
Newport,YAC,YACHATS,YACHATS,ODFW,44.311758,-124.101392,41,,,,
